Label	Count
#UniversityEvent	191
#AcademicLecture	87
#InternationalCollaboration	82
#EducationProgram	77
#Education	77
#StudentRecruitment	75
#Technology	58
#AcademicExchange	57
#Lecture	55
#Research	55
#MedicalResearch	49
#CulturalHeritage	48
#AcademicConference	43
#ProfessionalDevelopment	41
#Donation	41
#AnniversaryCelebration	40
#AnniversaryEvent	39
#UniversityResearch	38
#TeacherTraining	37
#Ceremony	35
#CulturalStudies	34
#MedicalScience	33
#GraduationCeremony	32
#VisitingScholar	32
#Scholarship	27
#AcademicOfferings	27
#InternationalEvent	26
#StudentSupport	25
#AcademicAchievement	25
#GraduatePrograms	24
#ProfessionalTraining	24
#BusinessEducation	24
#ScientificResearch	23
#AcademicEvent	23
#Science	22
#CommunityEngagement	22
#CampusDevelopment	20
#CulturalEvent	20
#HonoraryDegrees	20
#UniversityAward	20
#AcademicCollaboration	20
#ArtExhibition	19
#BusinessManagement	19
#Academic	19
#EducationPolicy	18
#StudentAchievement	18
#MedicalBreakthrough	18
#AcademicAppointment	18
#Economics	17
#Graduation	17
#StudentEvent	17
#FacultyAppointment	17
#ScienceInnovation	17
#UniversityGovernance	17
#Biotechnology	17
#CulturalExchange	17
#UniversityLeadership	16
#ProfessorInauguration	16
#Healthcare	16
#HonoraryDegree	16
#ResearchInnovation	16
#Leadership	16
#EducationTraining	15
#AcademicHonor	15
#UniversityProgram	15
#MedicalEducation	14
#Recognition	14
#UniversityRecruitment	14
#PublicHealth	14
#Health	14
#PublicLecture	14
#RegionalCollaboration	13
#Workshop	13
#UniversityLecture	13
#Recruitment	13
#ResearchFunding	13
#AcademicOpportunity	13
#History	13
#Archaeology	12
#InternationalExchange	12
#Literature	12
#GuestLecture	12
#MedicalInnovation	11
#SurgicalInnovation	11
#ResearchConference	11
#EducationSeminar	11
#EnvironmentalScience	11
#UniversityInitiative	11
#GraduateProgram	10
#EconomicStudies	10
#UniversityPrograms	10
#DebateCompetition	10
#BusinessStudies	10
#PartTimePrograms	10
#TechnologyStudies	10
#Performance	10
#PartTimeEducation	10
#AcademicDiscussion	10
#UniversityAdministration	10
#PartTimeStudy	10
#PublicAccess	10
#Music	10
#UniversitySeminar	10
#Event	9
#EconomicDevelopment	9
#TechInnovation	9
#ResearchSeminar	9
#StudentActivity	9
#Debate	9
#UniversityAdmission	9
#PartTimeStudies	9
#TranslationStudies	9
#ChineseMedicine	9
#EngineeringEducation	9
#StudentAward	9
#AcademicRecognition	9
#MedicalSeminar	8
#Mathematics	8
#HealthResearch	8
#InternationalStudy	8
#ScienceAchievement	8
#RegionalStudies	8
#CommunitySupport	8
#UniversityAnnouncement	8
#InternationalConference	8
#ResearchCollaboration	8
#Sports	8
#CancerResearch	8
#Chess	8
#UniversityCollaboration	8
#InternationalRecognition	8
#UniversityStatement	8
#MedicalLecture	7
#UniversityAchievement	7
#ResearchSupport	7
#ScienceEducation	7
#Construction	7
#CharitySupport	7
#UniversityDevelopment	7
#EngineeringInnovation	7
#CommunityService	7
#Conference	7
#PerformingArts	7
#PublicEvent	7
#BusinessTraining	7
#ScientificAward	7
#Industry	7
#StudentCompetition	7
#UniversityCeremony	7
#Business	7
#MedicalTraining	7
#HealthInnovation	7
#NursingEducation	7
#AcademicResearch	7
#InternationalTrade	6
#Anthropology	6
#MusicEducation	6
#AcademicLeadership	6
#Governance	6
#MusicEvent	6
#AcademicDevelopment	6
#HealthSupport	6
#LeadershipChange	6
#Appointment	6
#LanguageEducation	6
#AlumniEngagement	6
#Medical	6
#HealthImpact	6
#Exhibition	6
#FacilityOpening	6
#BiotechResearch	6
#MedicalAdvancement	6
#InternationalRelations	6
#UniversityAppointment	6
#PublicEngagement	6
#Architecture	6
#CommunityHealth	6
#MedicalWorkshop	6
#DebateEvent	6
#EconomicPolicy	6
#LanguageStudies	5
#PhysicsResearch	5
#InauguralLecture	5
#CareerDevelopment	5
#CareerFair	5
#GraduateRecruitment	5
#AcademicSeminar	5
#EducationStudies	5
#AcademicPrograms	5
#ResearchExcellence	5
#ResearchInitiatives	5
#GraduateStudies	5
#ResearchDevelopment	5
#MathematicalStudies	5
#HealthEducation	5
#CulturalEngagement	5
#CampusEvent	5
#ScientificAchievement	5
#PhysicalEducation	5
#EducationEvent	5
#CharityEvent	5
#ScienceResearch	5
#HerbalMedicine	5
#Funding	4
#MedicalExhibition	4
#UndergraduateAdmission	4
#InterUniversity	4
#StudentWork	4
#StudentOutreach	4
#HonoraryAward	4
#MedicalConference	4
#ManagementTraining	4
#TechConference	4
#Engineering	4
#EducationResearch	4
#SocialWork	4
#TechnologyAdvancement	4
#SocialSciences	4
#HonoraryAppointment	4
#PoliticalStudies	4
#ExhibitionOpening	4
#AcademicVisit	4
#AcademicSpeech	4
#UndergraduatePrograms	4
#Competition	4
#AccountingEducation	4
#SocialResearch	4
#HongKongEducation	4
#ScholarshipProgram	4
#CancerStudies	4
#FinanceStudies	4
#StudentOrientation	4
#EducationSymposium	4
#StudentAwards	4
#BuildingInauguration	4
#HistoryStudies	4
#LiteratureStudies	4
#ArtLecture	4
#CulturalPerformance	4
#UniversityExpansion	4
#ScienceEvent	4
#EducationResults	4
#ArtHistory	4
#GenderStudies	4
#EthnicStudies	4
#Psychology	4
#Sociology	4
#ScholarshipAward	4
#TeacherDevelopment	4
#AcademicSupport	4
#UniversityRecognition	3
#PoliticalScience	3
#TechnologyDevelopment	3
#MemorialEvent	3
#StudentActivities	3
#Culture	3
#MedicalSymposium	3
#MedicalCollaboration	3
#ProfessorAppointment	3
#RegionalDevelopment	3
#StudentExchange	3
#IndustryCollaboration	3
#TrainingProgram	3
#Nursing	3
#GraduateEducation	3
#EconomicSeminar	3
#MathEducation	3
#Achievement	3
#AcademicExcellence	3
#UniversityPublication	3
#Media	3
#Art	3
#ChildHealth	3
#HealthAwareness	3
#CommunityOutreach	3
#PublicOutreach	3
#TraditionalMedicine	3
#EyeHealth	3
#Administration	3
#EducationInnovation	3
#SportsMedicine	3
#TechnologyUpgrade	3
#ResearchLeadership	3
#PoliticalResponse	3
#SocialMovement	3
#EyeCare	3
#EconomicLecture	3
#MusicStudies	3
#ComputerScience	3
#CulturalSeminar	3
#StudentLife	3
#CulturalExhibition	3
#StudentEngagement	3
#GovernmentJobs	3
#Language	3
#UniversityExchange	3
#Entrepreneurship	3
#PolicyDiscussion	3
#InternationalSupport	3
#OfficialEvent	3
#GlobalMarkets	3
#AlumniEvent	3
#HistoryLecture	3
#DiplomaProgram	3
#AcademicFacility	3
#EducationDevelopment	3
#UniversityFacility	3
#LiteratureDonation	3
#EducationEnhancement	3
#EconomicPerspective	3
#UniversitySupport	3
#ReligiousStudies	3
#CampusFacility	3
#UniversityAgreement	3
#CantoneseOpera	3
#SocialIssue	2
#StudentAffairs	2
#FacultyAchievement	2
#UndergraduateAdmissions	2
#UniversityPolicy	2
#ManagementStudies	2
